dVmax,ADP90,ADP50,Vreps,tdV
3.11975,104,93,-82.5592,5.9
3.33013,172,162,-74.4083,5.72
3.34674,168,155,-82.3773,5.88
3.28112,175,163,-78.8372,5.81
3.28446,111,100,-83.7329,5.92
3.01939,164,152,-78.9922,5.83
3.18645,128,119,-73.3372,5.71
3.27038,130,120,-77.7919,5.8
3.08914,162,149,-84.5663,5.94
3.29636,151,139,-80.0417,5.84
3.22803,160,150,-72.7157,5.69
3.15683,108,99,-71.797,5.68
3.311,157,148,-72.3661,5.68
2.97807,165,153,-76.4723,5.78
3.31505,157,147,-75.9392,5.76
2.9939,148,136,-80.7788,5.87
2.91749,168,156,-76.9897,5.79
3.3019,169,159,-73.5064,5.71
3.16398,163,153,-71.5144,5.67
3.39662,187,173,-86.0853,5.95
3.38439,196,184,-79.0611,5.81
3.15925,157,147,-71.5818,5.67
2.81322,148,138,-69.2616,5.64
2.88521,106,96,-72.4207,5.71
3.14944,120,110,-77.1569,5.79
3.35953,187,176,-76.6065,5.77
3.39727,166,152,-85.8861,5.95
3.21704,157,144,-82.671,5.89
3.47629,169,157,-82.2748,5.87
2.95601,102,93,-75.9597,5.78
3.07613,111,103,-70.8674,5.67
3.06768,148,137,-79.6212,5.84
2.84658,128,119,-69.3572,5.65
3.59877,110,100,-86.3324,5.96
3.22189,163,151,-81.6435,5.87
2.94099,123,114,-70.028,5.66
3.05716,89,79,-79.9562,5.86
3.18677,179,168,-74.5808,5.73
2.86581,106,96,-77.0726,5.8
3.13651,88,79,-76.3206,5.78
2.9347,173,160,-80.0831,5.85
3.01214,98,88,-79.5435,5.85
3.15158,112,102,-80.849,5.87
2.97569,156,144,-80.372,5.86
3.31634,189,177,-77.1517,5.78
2.93151,116,107,-73.0536,5.72
2.84632,129,118,-76.7512,5.8
3.15838,121,111,-76.3012,5.77
3.02026,173,161,-77.2815,5.8
3.01496,161,150,-75.5674,5.76
3.40414,105,93,-87.095,5.98
3.01444,155,145,-72.0631,5.69
2.97863,158,148,-70.0361,5.65
3.36521,178,168,-72.6629,5.69
3.28135,156,146,-76.9276,5.78
2.86106,127,115,-80.2564,5.87
2.87263,158,147,-74.9963,5.76
2.90977,134,123,-77.315,5.8
2.85931,149,139,-70.3546,5.66
3.05714,164,154,-70.5345,5.66
3.28421,172,162,-71.5185,5.67
3.34905,94,85,-80.2455,5.85
3.27432,162,152,-73.1626,5.7
3.37153,135,126,-73.2256,5.7
3.10094,142,131,-79.3791,5.84
2.90921,80,72,-73.5004,5.73
3.07354,97,88,-76.3296,5.78
