dVmax,ADP90,ADP50,Vreps,tdV
3.16103,189,175,-87.3279,5.98
3.02512,165,154,-75.5924,5.76
3.29361,159,146,-81.8669,5.87
3.04347,201,188,-80.7781,5.86
3.19116,152,141,-77.2873,5.79
2.85573,152,141,-72.9883,5.72
3.37909,149,136,-80.5066,5.84
2.91226,148,137,-77.7396,5.81
3.25201,76,67,-76.5505,5.78
3.41134,143,131,-86.1326,5.96
3.04987,119,110,-74.8115,5.75
3.35863,101,92,-78.5013,5.81
2.94909,156,143,-81.364,5.88
3.19273,89,81,-70.6616,5.66
2.8219,121,112,-72.8225,5.72
3.38185,173,163,-71.296,5.66
3.15599,124,115,-75.2151,5.75
2.96882,161,150,-75.7699,5.77
2.86646,127,117,-74.4575,5.75
3.55825,188,174,-85.0442,5.92
3.10915,92,82,-82.9011,5.92
2.95665,183,169,-83.8189,5.93
3.44411,136,124,-84.8465,5.93
3.50338,166,152,-85.0991,5.93
3.3348,92,83,-74.1481,5.72
3.2777,149,139,-77.2501,5.78
2.93994,125,116,-70.1918,5.66
3.60866,169,155,-86.0718,5.94
3.14886,134,121,-84.4906,5.94
3.3014,156,146,-76.3898,5.77
3.07982,129,117,-82.3938,5.9
3.18852,162,148,-84.5914,5.93
2.81339,111,103,-73.978,5.75
3.35554,113,103,-79.852,5.84
3.05539,163,150,-84.628,5.94
3.13485,153,144,-71.6728,5.68
3.05581,158,148,-73.9648,5.73
2.86376,151,141,-72.5642,5.71
2.93796,189,177,-79.0617,5.83
2.99196,85,75,-79.9784,5.86
2.85575,176,164,-77.0986,5.8
3.10753,117,106,-80.3842,5.86
2.82348,122,114,-72.2696,5.71
3.20417,182,169,-82.4259,5.89
3.31491,183,171,-78.229,5.8
3.36382,99,90,-77.533,5.79
3.00451,147,134,-82.7858,5.91
3.30801,169,158,-75.2384,5.74
3.23065,189,177,-77.5781,5.79
2.9172,172,162,-74.8052,5.75
3.12863,170,158,-78.0891,5.81
3.4141,148,136,-82.4293,5.88
3.382,173,161,-77.8171,5.79
3.34281,76,67,-75.4489,5.75
3.18166,116,107,-73.3534,5.71
3.06156,195,183,-77.5677,5.8
2.89965,140,130,-71.9988,5.7
2.97893,95,86,-77.1606,5.81
2.93014,154,143,-76.8695,5.79
3.12815,154,144,-74.6152,5.74
3.02732,161,151,-73.924,5.73
3.08101,168,154,-84.5978,5.94
3.07441,100,92,-70.2701,5.66
2.93055,122,111,-82.4172,5.91
3.42075,127,116,-80.4058,5.84
2.8395,164,153,-75.0623,5.76
2.93896,159,148,-76.0825,5.78
3.20218,109,99,-77.645,5.8
3.1431,111,103,-71.5705,5.68
3.19551,80,72,-73.6357,5.72
3.4494,178,166,-81.7675,5.86
