dVmax,ADP90,ADP50,Vreps,tdV
2.9333,105,95,-77.246,5.8
2.87271,142,132,-71.3108,5.68
3.01802,178,165,-78.2935,5.82
2.86111,125,116,-70.9712,5.68
3.08535,165,154,-75.3472,5.75
2.92287,135,126,-69.9046,5.65
3.45648,116,106,-81.2202,5.86
3.02166,85,75,-79.7829,5.86
3.22111,107,96,-84.4975,5.94
3.46626,160,149,-82.1366,5.87
3.16115,133,121,-84.8988,5.94
3.35998,167,156,-78.263,5.8
3.23284,125,113,-85.688,5.96
2.96066,112,101,-79.9955,5.86
3.44043,148,137,-81.4293,5.86
3.01077,129,119,-75.9379,5.77
2.952,145,134,-78.4291,5.82
3.20917,168,156,-78.4703,5.81
3.2615,163,152,-75.7929,5.75
3.39409,143,132,-80.2559,5.84
3.10718,130,120,-73.1318,5.71
2.9448,131,121,-70.8508,5.67
3.01258,117,104,-84.6709,5.95
3.11838,158,147,-76.0894,5.77
3.25788,93,83,-82.3877,5.9
3.12838,124,115,-70.688,5.66
3.26038,192,178,-81.1981,5.86
2.91256,101,92,-75.9349,5.78
3.13136,92,81,-86.85,5.99
2.85512,164,152,-74.9062,5.76
2.88802,120,109,-78.2416,5.83
3.09802,145,134,-78.3848,5.82
2.92408,84,74,-78.5636,5.84
3.1769,132,123,-72.1081,5.69
2.82177,128,118,-73.8165,5.74
2.89641,164,153,-75.3421,5.76
3.52128,154,141,-87.056,5.97
3.09788,166,156,-73.7395,5.72
3.02512,146,136,-69.6526,5.64
3.00384,142,130,-80.9678,5.87
3.27392,192,179,-79.5708,5.83
2.96123,144,134,-72.6138,5.71
3.06101,132,120,-80.98,5.87
3.01061,98,89,-75.816,5.77
2.82463,147,137,-72.1327,5.7
3.12251,101,90,-85.8156,5.97
3.04211,147,137,-70.0956,5.65
3.10574,168,157,-76.1358,5.77
3.33418,142,132,-75.5903,5.75
3.32891,142,133,-71.7028,5.67
3.28626,151,139,-81.7155,5.87
3.43106,163,150,-86.0527,5.95
2.85781,144,133,-77.2898,5.8
3.04109,104,95,-77.1135,5.8
3.31558,169,159,-71.338,5.66
2.89496,158,147,-76.7719,5.79
3.24296,163,153,-73.6874,5.71
3.05098,138,129,-70.1065,5.65
3.25066,176,166,-71.5616,5.67
3.10824,151,141,-74.0944,5.73
3.34294,194,181,-82.6753,5.89
2.90309,95,87,-70.0059,5.66
2.97915,91,80,-82.9534,5.92
3.28537,137,125,-84.2997,5.93
3.38667,178,167,-75.7507,5.75
3.02827,182,168,-82.2002,5.89
2.88257,119,108,-80.8576,5.88
3.09004,154,142,-80.6221,5.86
3.36917,130,121,-73.0588,5.7
2.90315,146,135,-77.5027,5.81
3.00549,93,83,-78.4489,5.83
3.31035,186,174,-77.5717,5.79
2.95829,91,80,-82.9285,5.92
3.31094,104,94,-81.09,5.87
3.11011,170,156,-83.4484,5.91
3.05669,160,150,-70.3984,5.66
3.35851,139,129,-75.5479,5.75
3.34295,136,126,-80.1494,5.84
3.14341,169,158,-72.3385,5.69
3.06995,186,172,-80.6405,5.86
2.83152,129,119,-72.1288,5.7
2.85369,142,131,-74.3447,5.75
3.33236,90,81,-77.6607,5.8
2.84399,148,137,-73.8501,5.74
2.81974,78,69,-76.8215,5.81
3.05765,96,86,-78.2823,5.82
3.24017,141,130,-80.9775,5.86
3.39485,167,154,-82.7976,5.89
3.35734,184,172,-79.8729,5.83
3.0054,175,163,-78.6157,5.82
3.14327,127,118,-71.7652,5.68
2.93229,124,115,-71.1829,5.68
3.22582,172,163,-71.183,5.66
2.88334,166,153,-78.6874,5.83
3.16586,141,131,-76.3206,5.77
3.0602,132,123,-71.5826,5.68
2.85545,114,104,-76.1918,5.79
2.93227,172,160,-77.6641,5.81
3.41059,142,130,-83.078,5.9
3.09947,151,141,-73.4395,5.72
3.25588,148,136,-81.8586,5.88
2.95273,158,146,-78.6702,5.83
2.95185,161,151,-70.4399,5.66
3.15526,174,162,-81.1965,5.87
2.95974,120,111,-70.9511,5.67
2.94462,134,123,-77.1895,5.8
3.04135,138,129,-70.0105,5.65
3.08093,159,149,-71.4211,5.67
3.4974,162,148,-87.0287,5.97
3.10997,118,109,-72.6461,5.7
2.97954,141,131,-71.153,5.68
2.98333,129,120,-70.1595,5.66
3.30045,186,173,-81.5762,5.87
3.03408,86,75,-85.7306,5.98
3.17788,150,139,-78.767,5.82
3.29864,157,148,-72.7447,5.69
3.29403,139,128,-80.3577,5.85
3.60176,173,160,-86.9055,5.96
3.20111,185,173,-76.5649,5.77
3.26603,141,129,-83.1051,5.9
3.09701,149,139,-74.975,5.75
3.20954,123,113,-77.3303,5.79
3.20794,157,147,-74.4453,5.73
3.16078,181,168,-80.6014,5.85
3.08931,119,110,-70.9139,5.67
3.13753,159,149,-75.0783,5.75
3.38615,153,144,-75.2198,5.74
2.90472,123,113,-77.015,5.8
3.12792,140,129,-79.4853,5.84
3.18023,145,135,-78.3508,5.81
3.32547,194,181,-80.9362,5.85
3.33614,91,83,-75.3127,5.75
3.20869,104,96,-72.6943,5.7
2.86791,97,88,-72.3729,5.71
3.31326,176,166,-71.7403,5.67
3.42045,189,174,-86.5852,5.96
3.37649,174,164,-75.067,5.73
3.0963,79,71,-72.1521,5.7
3.08278,170,158,-80.5423,5.86
3.04413,183,168,-83.6984,5.92
3.11239,169,158,-75.7072,5.76
3.08694,125,115,-77.6811,5.8
3.36138,192,178,-82.395,5.88
3.0251,145,135,-70.3608,5.66
3.35986,149,138,-77.7734,5.79
3.60682,144,132,-86.4971,5.96
3.24693,170,157,-81.4446,5.87
3.32827,195,181,-84.9596,5.93
2.87407,160,150,-71.993,5.7
3.41002,198,186,-79.6107,5.82
3.44316,163,149,-87.0266,5.97
2.97986,116,107,-72.0953,5.7
2.91006,125,115,-75.5721,5.77
2.95933,170,157,-80.9129,5.87
