dVmax,ADP90,ADP50,Vreps,tdV
3.26272,152,140,-80.0439,5.84
3.17001,188,177,-74.6651,5.74
3.28387,133,124,-70.3104,5.64
3.23402,129,116,-85.5764,5.95
3.29538,162,152,-72.718,5.69
3.05613,177,166,-76.3816,5.78
3.41184,172,160,-80.1873,5.84
3.03345,181,170,-72.8464,5.71
3.12238,166,156,-71.2052,5.67
3.41981,149,136,-86.6556,5.96
3.37977,84,76,-75.5061,5.75
3.12186,182,169,-81.1017,5.87
3.12907,158,146,-80.8354,5.86
3.11827,129,118,-82.2273,5.89
3.11591,130,120,-71.4785,5.68
3.0977,105,96,-79.8298,5.85
2.97296,159,149,-71.6245,5.69
2.9593,94,85,-75.1493,5.76
2.92416,143,132,-74.0088,5.74
3.35128,146,136,-73.1497,5.7
2.9421,126,117,-72.8812,5.71
3.0473,89,80,-80.1951,5.87
2.95697,133,122,-78.5225,5.83
2.83263,101,92,-77.733,5.82
2.87934,133,122,-75.8496,5.78
2.89545,153,143,-73.4348,5.73
3.29346,177,165,-77.2505,5.78
3.16186,104,94,-75.671,5.76
3.1897,139,130,-70.56,5.65
3.17709,181,169,-81.3669,5.87
3.38953,151,140,-73.2679,5.7
3.22395,69,62,-70.4081,5.65
2.94868,149,139,-72.0932,5.7
3.2721,133,123,-77.8163,5.8
2.9009,141,130,-75.6602,5.77
3.13283,164,150,-84.8546,5.94
3.24227,168,158,-71.3134,5.66
3.17631,82,72,-78.9314,5.83
3.13013,117,106,-85.221,5.95
2.99517,163,149,-84.3289,5.94
3.02636,95,86,-78.7575,5.83
3.05362,136,125,-84.1553,5.94
2.99271,186,175,-74.6712,5.74
3.65296,175,161,-87.17,5.96
3.0774,136,124,-84.6489,5.94
2.88804,137,127,-75.084,5.76
2.94138,177,163,-80.6642,5.87
2.81618,88,80,-71.4063,5.7
3.27623,164,151,-81.728,5.87
2.87221,141,131,-72.0955,5.7
3.31755,67,59,-72.1047,5.69
2.84014,163,154,-69.9826,5.66
3.05014,146,135,-81.8011,5.89
3.28676,107,98,-74.995,5.74
3.34049,154,142,-84.8675,5.93
3.00224,204,190,-84.2896,5.93
3.29979,87,78,-76.5361,5.78
3.0279,92,83,-79.9697,5.86
3.57323,178,163,-86.5369,5.95
3.16277,164,154,-71.148,5.67
3.20383,131,120,-82.3353,5.89
3.22663,177,164,-82.1223,5.88
3.36013,106,97,-72.8565,5.69
3.30629,172,160,-76.6059,5.77
3.06153,152,140,-85.2803,5.96
3.04504,150,140,-73.9294,5.73
3.39884,146,136,-77.082,5.78
2.95832,170,158,-77.9872,5.81
3.05004,179,166,-78.7122,5.82
3.156,183,171,-76.8372,5.78
2.92425,168,155,-83.0576,5.92
3.24973,126,114,-85.83,5.96
2.88895,154,144,-72.1579,5.7
3.37174,162,151,-74.7749,5.73
3.1664,153,143,-74.4823,5.73
3.0211,166,154,-77.5721,5.8
3.14454,133,124,-71.6267,5.68
2.8745,176,165,-71.3884,5.68
3.19041,136,124,-85.0298,5.94
3.38546,128,119,-70.3126,5.64
3.35141,171,161,-73.2155,5.7
3.19701,167,154,-81.6287,5.87
3.18869,152,140,-77.6011,5.79
3.10003,154,142,-79.3516,5.83
2.98374,100,92,-73.3886,5.73
3.00853,131,121,-78.357,5.82
3.01436,163,151,-79.3176,5.84
3.07216,141,131,-70.4962,5.66
3.09215,119,110,-76.4921,5.78
2.97602,123,114,-71.2385,5.68
3.35416,163,150,-82.6215,5.89
3.32963,194,182,-78.8984,5.81
2.99416,165,153,-80.5478,5.86
3.04175,118,109,-72.7938,5.71
3.21499,185,173,-75.3524,5.75
3.12587,190,177,-79.4157,5.83
3.3459,180,169,-74.0452,5.71
3.02442,175,161,-85.8933,5.96
2.90486,159,149,-71.8194,5.69
3.47861,182,167,-84.2583,5.91
3.15672,101,92,-75.7016,5.77
3.15222,109,99,-82.4491,5.9
3.21374,167,157,-74.2253,5.73
2.86747,127,118,-73.2958,5.73
3.02797,102,94,-70.7407,5.67
3.0818,157,147,-71.1103,5.67
3.4559,184,169,-86.2328,5.95
3.07733,135,125,-78.6918,5.82
3.43276,161,149,-80.1079,5.83
3.14255,93,84,-70.9579,5.67
3.22146,97,87,-79.924,5.85
3.08526,131,121,-75.6089,5.76
3.26776,68,60,-72.4892,5.7
3.02967,118,110,-70.5659,5.66
3.17338,114,102,-85.019,5.95
3.35285,126,115,-80.7864,5.85
3.09542,175,161,-84.0424,5.93
2.9999,96,87,-75.7643,5.78
3.38241,198,186,-78.4512,5.8
3.1776,178,164,-86.935,5.98
3.30224,197,184,-80.502,5.85
3.14294,158,147,-73.8451,5.72
3.33626,91,83,-73.566,5.71
2.85717,169,158,-75.8143,5.78
2.83859,155,144,-76.9663,5.8
3.23143,95,86,-78.9258,5.83
3.24527,154,144,-70.6191,5.65
3.52875,155,142,-83.4859,5.9
2.8827,194,182,-76.5674,5.79
3.21481,200,185,-84.9374,5.93
3.09421,134,124,-74.4706,5.74
3.40906,143,131,-80.5534,5.84
3.29122,140,129,-79.2069,5.82
2.89579,172,161,-78.3783,5.82
3.46462,144,130,-85.0692,5.93
3.0101,102,93,-77.8234,5.81
3.14388,166,154,-79.635,5.84
3.20938,89,78,-85.2637,5.96
3.3953,157,145,-83.9703,5.91
3.14011,81,73,-74.9196,5.75
3.24191,155,146,-69.7902,5.63
2.91386,135,126,-69.3,5.64
3.21041,133,124,-72.9228,5.7
2.94366,156,145,-77.1249,5.8
3.30524,92,83,-76.6022,5.78
3.3687,81,73,-71.4259,5.67
2.94379,170,158,-78.9964,5.83
3.34959,125,114,-82.7635,5.9
3.3568,101,90,-81.9524,5.88
3.03492,158,147,-75.3169,5.76
3.02305,119,109,-77.9653,5.82
3.29794,125,115,-70.545,5.65
3.3107,184,171,-81.3413,5.86
3.30591,185,172,-81.3421,5.86
2.96633,175,164,-77.1565,5.8
2.94979,165,155,-69.6766,5.65
2.97137,163,152,-76.3149,5.78
2.9856,188,173,-84.359,5.94
3.35205,161,151,-72.8626,5.69
3.17956,142,133,-71.7712,5.68
3.01628,100,90,-79.0909,5.84
3.03509,133,123,-71.3378,5.68
2.91625,91,82,-75.9828,5.78
3.08513,142,129,-81.3102,5.87
3.05473,117,107,-78.3424,5.82
3.33281,127,114,-85.4212,5.95
2.96793,112,103,-75.2842,5.76
2.97644,176,165,-75.9192,5.77
3.20651,170,160,-70.2607,5.64
3.28522,154,143,-77.4145,5.79
3.57102,196,181,-85.6794,5.93
2.9796,87,78,-74.4456,5.75
3.27286,127,117,-74.7318,5.73
3.34185,164,154,-71.233,5.66
3.13037,81,73,-73.1221,5.71
3.29827,111,103,-70.5726,5.65
3.4809,191,177,-82.8154,5.88
3.25633,97,87,-77.926,5.8
3.30579,147,135,-78.5371,5.81
3.30647,116,105,-83.6852,5.92
3.20076,169,155,-86.1316,5.96
3.55852,187,173,-85.7645,5.94
3.25363,178,164,-79.8151,5.83
3.32004,186,174,-77.6501,5.79
2.93089,145,135,-70.5318,5.66
3.36829,158,145,-81.3599,5.86
3.15553,145,134,-77.1823,5.79
2.92047,86,77,-79.9102,5.87
3.21878,130,118,-81.5626,5.87
3.27391,172,158,-84.2404,5.92
2.88833,161,151,-73.6205,5.73
3.38407,139,129,-75.1903,5.74
3.06722,137,126,-75.0883,5.75
3.1942,191,178,-82.4714,5.89
3.14458,92,83,-79.2054,5.84
3.36973,141,132,-71.2415,5.66
3.066,179,168,-74.7085,5.74
3.36407,186,173,-83.6248,5.9
3.06841,138,129,-73.5299,5.72
3.02334,129,118,-74.4367,5.74
3.30015,125,113,-81.8295,5.88
3.18862,162,152,-72.6391,5.7
3.09736,161,151,-72.4653,5.7
3.23606,177,166,-72.9817,5.7
3.11515,167,154,-85.7512,5.96
2.89384,179,167,-79.2508,5.84
3.43518,172,159,-82.5475,5.88
3.2693,118,108,-71.6944,5.67
2.86799,131,121,-78.202,5.83
2.86828,89,81,-71.1995,5.69
3.3493,169,157,-75.9097,5.75
3.19098,154,144,-70.8778,5.66
3.30926,184,173,-75.0073,5.74
2.98758,113,104,-76.4512,5.79
3.13415,117,106,-84.0447,5.93
2.95993,157,146,-77.7956,5.81
2.99107,158,145,-83.1773,5.91
3.29519,134,122,-84.8442,5.94
2.87483,172,159,-78.8053,5.83
3.28797,156,146,-70.7091,5.65
3.10896,73,64,-75.0619,5.76
3.35888,124,113,-80.8193,5.85
3.01057,157,146,-76.8519,5.79
3.11782,146,133,-83.5413,5.92
2.89749,167,155,-81.742,5.89
3.40183,178,167,-77.4963,5.78
3.2654,121,112,-75.1353,5.75
3.20688,159,149,-72.7735,5.7
3.16386,160,150,-71.8103,5.68
2.90212,129,119,-73.9856,5.74
2.869,83,75,-75.0381,5.77
3.43917,157,145,-80.3667,5.84
2.90584,137,127,-70.5682,5.67
2.89473,151,140,-73.4114,5.73
2.9992,178,167,-75.4995,5.76
3.2435,174,163,-76.8599,5.78
3.00552,111,103,-71.129,5.68
3.59306,118,106,-85.9836,5.95
3.14874,126,116,-77.632,5.8
2.90873,176,166,-73.6545,5.73
2.95409,101,92,-73.1699,5.72
3.22739,109,98,-86.0614,5.97
2.96746,159,149,-71.1049,5.67
3.343,174,161,-82.8223,5.89
3.26663,184,170,-83.0037,5.9
3.05019,168,157,-75.6663,5.76
3.34295,174,161,-80.1465,5.84
2.88788,164,152,-75.3067,5.76
2.83856,155,145,-72.3502,5.71
