dVmax,ADP90,ADP50,Vreps,tdV
3.60709,214,193,-87.6716,5.95
3.47401,220,202,-87.4739,5.97
3.53194,245,228,-87.4364,5.96
3.40187,221,202,-87.6175,5.97
3.5505,226,209,-87.4138,5.96
3.36081,222,203,-87.577,5.97
3.22769,231,213,-87.5932,5.98
3.62374,213,192,-87.6748,5.96
3.46834,244,226,-87.4583,5.96
3.4796,215,196,-87.5833,5.97
3.18747,245,226,-87.4688,5.98
3.39511,220,200,-87.6766,5.97
3.55838,223,205,-87.3658,5.96
3.14573,218,200,-87.494,5.98
3.27794,232,213,-87.5489,5.97
3.38663,246,229,-87.4925,5.97
3.49013,248,227,-87.6364,5.96
3.09875,222,201,-87.5049,5.98
3.09943,237,214,-87.7088,5.98
3.47578,235,216,-87.4838,5.97
3.62541,243,221,-87.7113,5.96
3.59099,238,216,-87.6546,5.96
3.40741,224,206,-87.452,5.97
3.17212,227,207,-87.6223,5.98
3.58695,237,219,-87.5545,5.96
3.20579,214,196,-87.5159,5.98
3.37963,225,202,-87.6542,5.97
3.46219,206,186,-87.5789,5.96
3.34127,208,187,-87.667,5.97
3.08405,229,206,-87.7904,5.98
3.20211,239,218,-87.5536,5.97
3.47464,208,188,-87.6781,5.96
3.09789,233,214,-87.5652,5.98
3.49935,234,216,-87.4051,5.96
3.57708,218,197,-87.7005,5.96
3.62956,221,200,-87.6819,5.95
3.42922,253,232,-87.5866,5.97
3.24985,205,187,-87.591,5.98
3.1056,223,201,-87.7006,5.98
3.27735,212,194,-87.3901,5.97
3.10643,214,193,-87.5673,5.98
3.28518,214,194,-87.6529,5.97
3.25349,240,217,-87.7284,5.97
3.43519,217,200,-87.4782,5.97
3.48062,208,190,-87.4701,5.96
3.4551,225,205,-87.6426,5.96
3.41847,208,191,-87.4292,5.97
3.21772,226,208,-87.4015,5.98
3.50207,235,212,-87.7358,5.96
3.26474,221,203,-87.5274,5.98
3.54743,231,213,-87.4253,5.96
3.34808,226,209,-87.4384,5.97
3.35156,231,209,-87.7954,5.97
3.44984,229,205,-87.6756,5.96
3.28731,258,235,-87.6168,5.97
3.39952,202,184,-87.4511,5.97
3.13278,235,217,-87.4654,5.98
3.55582,239,220,-87.5183,5.96
3.29313,236,217,-87.559,5.97
3.28488,216,199,-87.4654,5.98
3.25991,221,203,-87.4925,5.97
3.23366,251,233,-87.3889,5.98
3.06717,230,209,-87.6962,5.98
3.46101,251,231,-87.4877,5.96
3.58937,220,198,-87.6753,5.96
3.55422,235,215,-87.5939,5.96
3.3087,250,228,-87.7199,5.97
3.07119,222,203,-87.628,5.98
3.12363,227,207,-87.6251,5.98
3.23528,217,195,-87.7775,5.97
3.53342,244,218,-87.7617,5.96
3.44292,235,217,-87.425,5.97
3.54109,224,203,-87.6213,5.96
3.41058,244,220,-87.78,5.97
3.65164,237,216,-87.6138,5.96
3.58798,224,203,-87.7899,5.96
3.62954,236,213,-87.763,5.96
3.22732,226,207,-87.5272,5.98
3.32735,213,194,-87.5799,5.97
3.35738,221,200,-87.6376,5.97
3.15528,257,238,-87.3813,5.98
3.08365,243,222,-87.7027,5.98
3.66356,236,217,-87.4372,5.96
3.27178,234,215,-87.441,5.97
3.16388,221,203,-87.5297,5.98
3.62556,232,213,-87.536,5.96
3.09848,248,228,-87.5504,5.98
3.52912,232,216,-87.4117,5.96
3.42579,228,211,-87.4251,5.97
3.30857,214,197,-87.4048,5.97
3.59341,234,217,-87.3838,5.96
3.48096,214,193,-87.7155,5.96
3.18236,227,211,-87.4609,5.98
3.24939,215,196,-87.6639,5.97
3.11131,203,185,-87.4598,5.98
3.41959,224,204,-87.6171,5.96
3.20963,235,216,-87.566,5.98
3.14667,212,191,-87.6344,5.98
3.08131,221,202,-87.4022,5.98
3.17588,210,193,-87.5277,5.98
3.18924,216,199,-87.4446,5.98
3.64115,237,214,-87.8093,5.96
3.20659,258,236,-87.5877,5.97
3.40618,231,208,-87.704,5.96
3.22679,237,221,-87.3817,5.98
3.50467,218,201,-87.4118,5.96
3.29491,198,181,-87.5179,5.97
3.47858,230,210,-87.5305,5.96
3.34352,219,195,-87.7847,5.97
3.11397,222,203,-87.5168,5.98
3.43957,203,181,-87.6975,5.96
3.52295,222,203,-87.445,5.96
3.34842,248,229,-87.4624,5.97
3.20242,214,198,-87.3812,5.98
3.42149,252,231,-87.5031,5.96
3.51425,216,198,-87.4289,5.96
3.09724,241,218,-87.636,5.98
3.30914,216,195,-87.7718,5.97
3.3584,242,220,-87.6827,5.97
3.38397,212,194,-87.5007,5.97
3.5987,239,220,-87.5436,5.96
3.06586,213,194,-87.5431,5.98
3.16166,238,217,-87.6118,5.98
3.11723,235,214,-87.6909,5.98
3.15155,205,186,-87.5387,5.98
3.22011,226,207,-87.448,5.98
3.61835,230,209,-87.6968,5.96
3.61973,232,212,-87.6052,5.96
3.21901,239,221,-87.4261,5.98
3.21805,241,223,-87.5234,5.98
3.2611,225,207,-87.3809,5.98
3.64301,227,206,-87.6395,5.96
3.49497,221,200,-87.5957,5.96
3.36645,221,203,-87.5145,5.97
3.05706,236,216,-87.5045,5.99
3.08103,258,238,-87.5725,5.98
3.16556,242,225,-87.4516,5.98
3.17823,217,200,-87.4799,5.98
3.43343,212,193,-87.6128,5.97
3.18866,195,178,-87.4477,5.98
3.35586,222,203,-87.4361,5.97
3.39863,202,185,-87.5318,5.97
3.66297,220,202,-87.5618,5.96
3.60372,234,217,-87.4502,5.96
3.44923,229,213,-87.5021,5.97
3.51101,211,194,-87.4286,5.96
3.31535,227,203,-87.7088,5.97
3.39625,216,195,-87.632,5.97
3.24356,245,224,-87.6252,5.97
3.30014,232,215,-87.4927,5.97
3.58429,224,204,-87.5229,5.96
3.33865,231,213,-87.5602,5.97
3.19553,232,215,-87.4582,5.98
3.52217,231,213,-87.4317,5.96
3.64192,242,223,-87.5645,5.96
3.23286,229,212,-87.4887,5.98
3.44556,212,195,-87.4673,5.97
3.62011,208,190,-87.5942,5.96
3.37208,223,203,-87.5995,5.97
3.22999,229,209,-87.7697,5.97
3.18495,239,217,-87.783,5.98
3.44639,228,210,-87.4227,5.97
3.1659,226,207,-87.519,5.98
3.40098,216,200,-87.4469,5.97
3.07487,214,195,-87.6775,5.98
3.16804,230,213,-87.4471,5.98
3.21684,221,204,-87.4829,5.98
3.17402,232,213,-87.5109,5.98
3.64741,222,204,-87.491,5.96
3.20634,218,197,-87.6837,5.98
3.13802,217,200,-87.4677,5.98
3.52984,234,210,-87.7008,5.96
3.08339,239,220,-87.412,5.98
3.53437,216,196,-87.5298,5.96
3.28826,231,212,-87.4342,5.97
3.45772,203,185,-87.4666,5.96
3.31862,227,210,-87.4475,5.97
3.12703,246,227,-87.5125,5.98
3.55095,216,193,-87.7554,5.96
3.06618,209,191,-87.4876,5.98
3.0716,236,215,-87.5286,5.98
3.6644,264,242,-87.6047,5.96
3.49268,236,218,-87.4471,5.97
3.13949,236,219,-87.447,5.98
3.28434,242,225,-87.3949,5.97
3.5441,227,207,-87.6251,5.96
3.49793,244,223,-87.615,5.96
3.30261,213,192,-87.6664,5.97
3.311,228,208,-87.6538,5.97
3.06008,228,206,-87.7739,5.98
3.13079,241,222,-87.4846,5.98
3.09502,239,219,-87.6641,5.98
3.42301,234,215,-87.4929,5.97
3.579,231,213,-87.4483,5.96
3.41354,255,235,-87.4893,5.97
3.54387,213,196,-87.3885,5.96
3.54926,214,195,-87.4633,5.96
3.51007,215,196,-87.5722,5.96
3.24506,220,203,-87.4865,5.98
3.38625,243,220,-87.6611,5.97
3.32361,245,224,-87.6929,5.97
3.2363,195,178,-87.486,5.98
3.39434,227,208,-87.5637,5.97
3.17157,194,178,-87.3934,5.98
3.64003,210,194,-87.5184,5.96
3.37509,219,200,-87.5931,5.97
3.12159,234,212,-87.6362,5.98
3.34689,207,190,-87.5156,5.97
3.5623,255,231,-87.6994,5.96
3.18748,226,206,-87.595,5.98
3.14297,214,198,-87.4657,5.98
3.60907,260,240,-87.5409,5.96
3.21774,233,214,-87.5645,5.98
3.34477,243,226,-87.4286,5.97
3.59794,210,192,-87.5568,5.96
3.37731,219,200,-87.5472,5.97
3.60212,219,201,-87.4219,5.96
3.4235,222,200,-87.6415,5.96
3.47856,243,222,-87.713,5.96
3.33721,238,216,-87.5896,5.97
3.25389,224,203,-87.5634,5.97
3.53671,245,223,-87.6554,5.96
3.36514,248,230,-87.5036,5.97
3.26641,227,209,-87.4217,5.97
3.54385,239,222,-87.4812,5.96
3.60787,237,219,-87.5178,5.96
3.35686,224,207,-87.4203,5.97
3.27142,212,194,-87.4867,5.98
3.2206,224,204,-87.683,5.98
3.22372,231,207,-87.7738,5.97
3.40425,234,215,-87.5149,5.97
3.3237,219,201,-87.4636,5.97
3.25069,230,214,-87.3626,5.98
3.40457,213,195,-87.4454,5.97
3.62808,238,215,-87.7722,5.96
3.40736,218,200,-87.4941,5.97
3.37274,257,238,-87.4392,5.97
